source	target	weight	episode
JAR JAR	RIC OLIE	1	episode-1
OBI-WAN	RIC OLIE	3	episode-1
QUI-GON	RIC OLIE	2	episode-1
DARTH MAUL	RUNE	1	episode-1
NUTE GUNRAY	RUNE	8	episode-1
ANAKIN (DW)	SEBULBA	2	episode-1
JABBA	SEBULBA	1	episode-1
JAR JAR	SEBULBA	2	episode-1
PADME	SEBULBA	2	episode-1
QUI-GON	SEBULBA	2	episode-1
ANAKIN (DW)	SHMI	7	episode-1
JABBA	SHMI	1	episode-1
JAR JAR	SHMI	3	episode-1
KITSTER	SHMI	1	episode-1
OBI-WAN	SHMI	1	episode-1
PADME	SHMI	5	episode-1
QUI-GON	SHMI	8	episode-1
SEBULBA	SHMI	1	episode-1
CAPTAIN PANAKA	SIO BIBBLE	3	episode-1
JAR JAR	SIO BIBBLE	1	episode-1
NUTE GUNRAY	SIO BIBBLE	2	episode-1
OBI-WAN	SIO BIBBLE	1	episode-1
PADME	SIO BIBBLE	1	episode-1
QUI-GON	SIO BIBBLE	2	episode-1
JAR JAR	TARPALS	2	episode-1
DOFINE	TC-14	1	episode-1
NUTE GUNRAY	TC-14	1	episode-1
OBI-WAN	TC-14	1	episode-1
PK-4	TC-14	1	episode-1
QUI-GON	TC-14	1	episode-1
DOFINE	TEY HOW	1	episode-1
NUTE GUNRAY	TEY HOW	1	episode-1
RUNE	TEY HOW	2	episode-1
BAIL ORGANA	VALORUM	1	episode-1
JAR JAR	VALORUM	1	episode-1
QUI-GON	VALORUM	1	episode-1
ANAKIN (DW)	WALD	2	episode-1
GREEDO	WALD	1	episode-1
JAR JAR	WALD	1	episode-1
KITSTER	WALD	1	episode-1
QUI-GON	WALD	2	episode-1
ANAKIN (DW)	WATTO	4	episode-1
C-3PO	WATTO	1	episode-1
KITSTER	WATTO	1	episode-1
PADME	WATTO	3	episode-1
QUI-GON	WATTO	6	episode-1
R2-D2	WATTO	3	episode-1
ANAKIN (DW)	YODA	3	episode-1
KI-ADI-MUNDI	YODA	3	episode-1
MACE WINDU	YODA	4	episode-1
OBI-WAN	YODA	3	episode-1
QUI-GON	YODA	2	episode-1
RABE	YODA	1	episode-1
